1 414060
3 413887
5 416817
7 419226
9 429779
11 430323
19 432592
22 432352
23 432113
24 432470
26 436697
28 442773
30 443434
32 453842
33 455239
36 455009
46 457151
48 463644
55 466217
59 468348
61 469592
63 471249
68 473192
72 473075
75 471767
77 471957
79 472621
82 473674
83 476021
96 475172
118 476168
125 482287
159 482612
164 482373
187 482197
218 478813
230 477948
237 477335
253 477595
255 476708
257 481370
267 483339
281 482056
282 482819
312 482604
316 486210
326 488820
337 488820
346 488116
371 485858
387 485985
401 485722
405 485750
410 487791
438 487579
451 487706
453 487005
462 486158
479 483022
480 482855
482 486877
488 490520
493 490651
531 493178
557 492585
592 492850
678 494931
713 496416
819 496474
960 495191
1118 492446
1120 493325
1131 493846
1302 496050
1312 496050
1379 495135
1489 492492
1511 491918
1564 491870
1649 493146
1698 492405
1727 493123
1735 493123
1740 493926
1746 493645
1884 493592
1905 493274
1964 493754
1977 493811
2084 494376
2114 495988
2204 497362
2312 499576
2488 499576
2592 497767
2644 496920
2789 495958
2929 492794
2931 492794
2974 494235
2998 492354
3020 493866
3033 496292
3035 496296
3040 496744
3074 496744
3199 496744
3271 496972
3320 496972
3516 496515
3629 494055
3678 493853
3719 494360
3736 493592
3741 495646
3840 494132
3918 495648
4454 494219
4659 494219
4663 494955
4769 494955
4832 493882
4996 495364
5062 495047
5150 495341
5201 494985
5316 492573
5321 494149
5331 493488
5349 493841
5393 493190
5400 493626
5407 492800
5456 492107
5468 492107
5552 495131
5596 495309
5614 496686
5629 495391
5679 495933
5698 495785
5807 495785
5822 495824
6028 495395
6038 496120
6100 495389
6148 494563
6292 493814
6343 494318
6474 496119
6558 497718
6631 497695
6701 498617
6915 498617
7191 498722
7264 498543
7445 498543
7952 498482
8144 498670
8492 499261
8611 499812
8904 500131
9284 499952
