1 400413
2 423141
6 430336
7 431086
8 433803
9 434077
10 436518
11 445740
14 444258
15 445613
16 445827
21 444804
22 446108
25 446484
26 446035
27 445788
28 445488
31 448999
32 460105
34 459714
37 463262
42 463860
44 465375
49 463084
55 464009
57 465191
62 471488
66 471228
77 472717
101 472108
105 471032
106 477655
108 478956
111 479150
113 478625
124 480736
143 480695
144 481078
162 480190
202 484465
270 488001
272 488699
279 488484
281 488412
292 489831
297 489831
309 483446
324 488717
345 488930
351 490666
360 489806
410 485710
414 485506
428 486124
450 485171
468 485366
474 483705
478 483417
533 482399
540 484399
541 484856
542 486713
572 487346
630 488156
631 487922
632 487769
640 488382
654 489445
678 489841
701 488361
711 489564
761 490686
785 491675
798 491929
807 493712
810 494674
824 496010
837 495767
905 498490
933 499221
965 499221
1064 497849
1115 497298
1158 491744
1169 497359
1178 495245
1348 496107
1363 497087
1597 496267
1622 495921
2000 494974
2028 493809
2042 493028
2061 493359
2064 493028
2066 494862
2089 494770
2096 495660
2130 495497
2150 495687
2280 494176
2342 495392
2391 492331
2397 490953
2410 492152
2415 492625
2423 488319
2456 492113
2485 492391
2496 493931
2690 489721
2708 489531
2718 491706
2753 489331
2773 489460
2785 489884
2895 490390
3001 490343
3006 491476
3008 491023
3086 491023
3167 492162
3201 488273
3231 488651
3275 490606
3276 491427
3289 490837
3331 489842
3384 491176
3416 492238
3450 492214
3468 492861
3476 493190
3559 493190
3740 492873
3830 493413
3838 492781
3893 492955
3908 491780
3927 491651
3966 492113
3996 493929
4086 493879
4087 493899
4313 494077
4336 496414
4355 498166
4427 497971
4438 497887
4491 496661
4512 496982
4551 498338
4587 498721
4611 497166
4647 498417
5154 499322
5200 499034
5202 498215
5274 498215
5311 497276
5423 498184
5674 498432
5753 498898
5809 499215
6077 498230
6088 501120
6209 501071
6369 501081
6485 500300
6725 500458
7139 500458
7244 500458
7369 501365
7380 502992
8264 502599
